SECTION,OFFENSE DESCRIPTION,OFFENSE TYPE,OFFENSE GRAVITY
5.4,"Any act constituting offense against honor (libel, defamation, slander) committed while in company premises or in relation to work (Type D)",D,GRAVE
5.5,Conduct of grossly scandalous or indecent nature or using profane or indecent language in addressing another person on company time or on company property (Type C),C,SERIOUS
5.6,"Any and all act constituting sexual harassment and/or any motives committed against a customer, and co-employees regardless of position, rank, or gender.",,FALSE
5.6.1,Persistently telling smutty jokes to a co- employee or customer who has indicated that he/ she finds them offensive (Type C),C,SERIOUS
5.6.2,Taunting a co-employee or passenger with constant talk of sex or sexual innuendoes (Type C),C,SERIOUS
5.6.3,Displaying offensive pictures or publications in the workplace (Type C),C,SERIOUS
5.6.4,Asking co-employee or passenger intimate questions on his/ her sexual activities,C,SERIOUS
5.6.5,Making offensive hand or body gestures at a co- employee or passenger (Type C),C,SERIOUS
5.6.6,"Making obscene phone calls to a co- employee or customer during and outside work hours, etc. (Type C)",C,SERIOUS
5.6.7,"Pinching, unnecessarily brushing up against a co- employee or passenger’s body (Type C)",C,SERIOUS
5.6.8,"Requesting for dates or favors in exchange for a job, favorable working conditions, or assignments, etc. (Type D)",D,GRAVE
5.6.9,Touching a co-employee or pasenger in sensitive parts of his/ her body to threats of a sexual nature and actual sexual assault (Type E),E,CAPITAL
5.6.10,"Directing or inducing another to commit any act of sexual harassment as herein defined, or who cooperates in the commission thereof by another without which it would not have been committed shall also be liable under these rules. Penalty shall likewise be imposed on the person who employed inducement or cooperated (Type C)",C,SERIOUS
5.7,Attempt to commit or committing any crime against chastity while in company premises or at job sites or committing any act constituting immorality of such scandalous proportions as to offend the moral sensibilities of the community (Type E),E,CAPITAL
5.8,"Taking part in any gambling, unauthorized lottery, loaning of money with excessive interest rates, or any other game of chance during company time or while within the company premises (Type C)",C,SERIOUS
5.9,Conviction of any crime punishable under the Revised Penal Code of the Philippines and other existing laws of the country (Type E),E,CAPITAL
6.1,Habitual Tardiness. This is defined as ten or more instances of tardiness or combined tardiness resulting in a total loss of 120 minutes or more within one month (Type A),A,LIGHT
6.2,"Overbreak. Taking coffee or snack breaks of more than 15 minutes at a time, for five or more instances or a total loss of thirty minutes or more in one calendar month (Type A)",A,LIGHT
6.3,Violation or failure to follow a general safety rule and/or practice (Type A),A,LIGHT
6.4,Denied permission to be absent. If an employee’s request for leave of absence is denied and he nevertheless absents himself he shall be subject to immediate discharge unless he is able to present valid and acceptable reason which he could not have presented to management before incurring the absence (Type E),E,CAPITAL
6.5,"Gross and habitual neglect by the employee of his duties. Abandonment of job is a form of neglect of duty. This constitutes (1) failure to report for work or absence without valid or justifiable reason and (2) a clear intention to severe the employer-employee relationship, with the second element as the more determinative factor and being manifested by some overt acts (Type E)",E,CAPITAL
6.6,"Failure to return to work on the working day immediately following the expiration of leave of absence or suspension, unless such leave is extended with proper approval (Type A)",A,LIGHT
6.7,"Failure to report for overtime work after having been duly advised and scheduled to work according to overtime policy, or doing overtime work, in lesser time than sought to be charged, without justifiable reason (Type A)",A,LIGHT
6.8,"Unauthorized defacing of any company property or willful defacing, tampering, smudging, printing or “dirtying” of walls or façade of any company property of any form of vandalism committed on company properties owned by the ES Group of Companies (Type C)",C,SERIOUS
6.9,"Willfully holding back, slowing down, hindering or limiting work output, or otherwise “feather bedding” or giving instructions to fellow employees to hold back, slow down, hinder, or limit output (Type E)",E,CAPITAL
6.10.1,"Causing loss of company time or money because of unauthorized use, operation or possession of machines, tools, vehicles or equipment or while performing work other than those assigned to him or her (Type D)",D,GRAVE
6.10.2,"Causing loss of company time or money because of unauthorized use, operation, or possession of machines, tools, vehicles or equipment or while performing work other than those assigned to him or her. Where the unauthorized use resulted in irreparable damage to the property (Type E)",E,CAPITAL
6.11,"Causing loss of time and money to the company because of negligence in the performance of official duties, neglect of duty, or persistently doing unsatisfactory work. This includes violation of standard operating procedures (Type C)",C,SERIOUS
6.12,"Making false, vicious, or malicious statements concerning the company (Type C)",C,SERIOUS
6.13,"Selling, soliciting, collecting contributions for any purposes whatsoever or conducting private business during office hours on company premises or work areas without proper authorizations from the company (Type C)",C,SERIOUS
6.14,"Holding any position or employment, with compensation, in any other business, firm, or organization—regardless of whether it is engaged in a similar line of business as the company or not—without prior written approval from management. (Type E)",E,CAPITAL
6.15,Abandonment of work or not reporting for work that has been scheduled (Type C),C,SERIOUS
7.1,Refusing to accept job assignments without justifiable reason (Type D),D,GRAVE
7.2,Willful disobedience of the lawful orders of the company and any of its officers (Type E),E,CAPITAL
7.3,Any act constituting disrespect and disregard of authority of company superiors and officers (Type D),D,GRAVE
7.4,"Any act which constitutes resistance, threat, intimidation, or assault against a person of authority in the company or any of his agent (Type D)",D,GRAVE
7.5,Any other act constituting insubordination or negligence not included in the preceding sections (Type D),D,GRAVE
7.6,"Leaving or not stopping for inspector, dispatcher, controller, scheduler (Type C)",C,SERIOUS
7.7,Refusing to board superior and other employees of the company inside the bus (Type C),C,SERIOUS
